evidence_layer,target_date,city,router_route,router_expression,router_ask,router_payoff,base_weight,patched_weight,patched_shares,patch_effect,forecast_source,row_forecast_model,city_source_bias_regime,city_source_bias,city_source_hot_underforecast_rate,unit_cost,unit_pnl,won,spread,top_ask_notional
historical_best_ask_diagnostic,2026-05-21,Munich,capped_d2_no,d2_no,0.56,0.0,0.3410999999999999,0.2558249999999999,2.2841517857142852,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_noisy,0.6598,0.5197,0.56,-0.56,0.0,,
historical_best_ask_diagnostic,2026-05-21,SanFrancisco,fresh_runway_current_no,current_bracket_no,0.66,0.0,0.3443199999999999,0.3443199999999999,2.608484848484848,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_clean,-1.1492,0.1489,0.66,-0.66,0.0,,
historical_best_ask_diagnostic,2026-05-21,SaoPaulo,pullback_uncertain_current_high_yes,current_high_yes,0.7,1.0,0.099,0.099,0.7071428571428572,below_min5_after_sizing,gfs_seamless,gfs,mild_or_mixed,-0.0191,0.2163,0.7,0.30000000000000004,1.0,,
historical_best_ask_diagnostic,2026-05-21,TelAviv,false_fade_reheat_current_no,current_bracket_no,0.58,0.0,0.199563,0.0,0.0,shadow_only_tail_or_false_fade,gfs_seamless,gfs,mild_or_mixed,0.4697,0.3287,0.58,-0.58,0.0,,
historical_best_ask_diagnostic,2026-05-21,Warsaw,false_fade_reheat_current_no,current_bracket_no,0.43,1.0,0.26,0.0,0.0,shadow_only_tail_or_false_fade,gfs_seamless,gfs,balanced_tight,-0.0484,0.1818,0.43,0.5700000000000001,1.0,,
historical_best_ask_diagnostic,2026-05-22,Chongqing,capped_d2_no,d2_no,0.664,0.0,0.2143259999999999,0.1393119,1.049035391566265,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,1.2798,0.5787,0.664,-0.664,0.0,,
historical_best_ask_diagnostic,2026-05-22,Helsinki,fresh_runway_current_no,current_bracket_no,0.31,0.0,0.16,0.16,2.580645161290323,below_min5_after_sizing,gfs_seamless,gfs,mild_or_mixed,0.2863,0.2556,0.31,-0.31,0.0,,
historical_best_ask_diagnostic,2026-05-22,Istanbul,fresh_runway_current_no,current_bracket_no,0.63,0.0,0.27213824,0.27213824,2.1598273015873013,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_noisy,-0.2309,0.236,0.63,-0.63,0.0,,
historical_best_ask_diagnostic,2026-05-22,Jeddah,capped_d2_no,d2_no,0.68,1.0,0.2222999999999999,0.1444949999999999,1.0624632352941172,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,1.4971,0.6966,0.68,0.31999999999999995,1.0,,
historical_best_ask_diagnostic,2026-05-22,Manila,capped_d2_no,d2_no,0.58,0.0,0.28917,0.1879605,1.6203491379310349,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,1.2891,0.6404,0.58,-0.58,0.0,,
historical_best_ask_diagnostic,2026-05-22,Munich,capped_d2_no,d2_no,0.55,0.0,0.351,0.26325,2.3931818181818176,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_noisy,0.6598,0.5197,0.55,-0.55,0.0,,
historical_best_ask_diagnostic,2026-05-23,Denver,false_fade_reheat_current_no,current_bracket_no,0.67,1.0,0.1677,0.0,0.0,shadow_only_tail_or_false_fade,gfs_seamless,gfs,mild_or_mixed,0.3357,0.3654,0.67,0.32999999999999996,1.0,,
historical_best_ask_diagnostic,2026-05-23,Istanbul,fresh_runway_current_no,current_bracket_no,0.6,0.0,0.47168,0.47168,3.930666666666667,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_noisy,-0.2309,0.236,0.6,-0.6,0.0,,
historical_best_ask_diagnostic,2026-05-23,Lucknow,fresh_runway_current_no,current_bracket_no,0.5,0.0,0.4556800000000001,0.4556800000000001,4.556800000000001,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_clean,-1.8403,0.0197,0.5,-0.5,0.0,,
historical_best_ask_diagnostic,2026-05-23,SanFrancisco,fresh_runway_current_no,current_bracket_no,0.63,1.0,0.444544,0.444544,3.5281269841269847,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_clean,-1.1492,0.1489,0.63,0.37,1.0,,
historical_best_ask_diagnostic,2026-05-23,Shanghai,fresh_runway_current_no,current_bracket_no,0.55,1.0,0.44928,0.44928,4.084363636363636,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,0.9496,0.5075,0.55,0.44999999999999996,1.0,,
historical_best_ask_diagnostic,2026-05-23,Warsaw,fresh_runway_current_no,current_bracket_no,0.69,0.0,0.2416640000000001,0.2416640000000001,1.7511884057971023,below_min5_after_sizing,gfs_seamless,gfs,balanced_tight,-0.0484,0.1818,0.69,-0.69,0.0,,
historical_best_ask_diagnostic,2026-05-24,Chengdu,capped_d2_no,d2_no,0.66,1.0,0.203364,0.1321866,1.0014136363636366,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,1.0728,0.5084,0.66,0.33999999999999997,1.0,,
historical_best_ask_diagnostic,2026-05-24,Lucknow,fresh_runway_current_no,current_bracket_no,0.58,0.0,0.5712,0.5712,4.924137931034483,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_clean,-1.8403,0.0197,0.58,-0.58,0.0,,
historical_best_ask_diagnostic,2026-05-24,NYC,fresh_runway_current_no,current_bracket_no,0.61,0.0,0.456192,0.456192,3.7392786885245903,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_noisy,-0.2712,0.156,0.61,-0.61,0.0,,
historical_best_ask_diagnostic,2026-05-24,TelAviv,fresh_runway_current_no,current_bracket_no,0.65,1.0,0.28672,0.28672,2.205538461538462,below_min5_after_sizing,gfs_seamless,gfs,mild_or_mixed,0.4697,0.3287,0.65,0.35,1.0,,
historical_best_ask_diagnostic,2026-05-25,CapeTown,fresh_runway_current_no,current_bracket_no,0.55,0.0,0.2496,0.2496,2.269090909090909,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_noisy,-0.6234,0.0758,0.55,-0.55,0.0,,
historical_best_ask_diagnostic,2026-05-25,Houston,fresh_runway_current_no,current_bracket_no,0.67,1.0,0.3715199999999999,0.3715199999999999,2.772537313432835,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_clean,-0.7775,0.0815,0.67,0.32999999999999996,1.0,,
historical_best_ask_diagnostic,2026-05-25,Jeddah,capped_d2_no,d2_no,0.65,0.0,0.252,0.1638,1.2599999999999998,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,1.4971,0.6966,0.65,-0.65,0.0,,
historical_best_ask_diagnostic,2026-05-25,LA,fresh_runway_current_no,current_bracket_no,0.7,1.0,0.3600000000000001,0.3600000000000001,2.5714285714285725,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_noisy,-0.2704,0.1085,0.7,0.30000000000000004,1.0,,
historical_best_ask_diagnostic,2026-05-25,TelAviv,fresh_runway_current_no,current_bracket_no,0.23,0.0,0.16,0.16,3.4782608695652177,below_min5_after_sizing,gfs_seamless,gfs,mild_or_mixed,0.4697,0.3287,0.23,-0.23,0.0,,
historical_best_ask_diagnostic,2026-05-25,Tokyo,fresh_runway_current_no,current_bracket_no,0.63,0.0,0.347904,0.347904,2.7611428571428576,below_min5_after_sizing,gfs_seamless,gfs,balanced_tight,-0.0899,0.1384,0.63,-0.63,0.0,,
historical_best_ask_diagnostic,2026-05-25,Wuhan,false_fade_reheat_current_no,current_bracket_no,0.47,0.0,0.1938768,0.0,0.0,shadow_only_tail_or_false_fade,gfs_seamless,gfs,mild_or_mixed,0.1514,0.2753,0.47,-0.47,0.0,,
historical_best_ask_diagnostic,2026-05-26,Chongqing,fresh_runway_current_no,current_bracket_no,0.44,1.0,0.2688000000000001,0.2688000000000001,3.0545454545454556,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,1.2798,0.5787,0.44,0.56,1.0,,
historical_best_ask_diagnostic,2026-05-26,Guangzhou,fresh_runway_current_no,current_bracket_no,0.67,1.0,0.297216,0.297216,2.218029850746268,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_noisy,0.5786,0.4242,0.67,0.32999999999999996,1.0,,
historical_best_ask_diagnostic,2026-05-26,Shanghai,fresh_runway_current_no,current_bracket_no,0.55,1.0,0.389376,0.389376,3.5397818181818184,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,0.9496,0.5075,0.55,0.44999999999999996,1.0,,
historical_best_ask_diagnostic,2026-05-26,TelAviv,fresh_runway_current_no,current_bracket_no,0.7,1.0,0.3600000000000001,0.3600000000000001,2.5714285714285725,below_min5_after_sizing,gfs_seamless,gfs,mild_or_mixed,0.4697,0.3287,0.7,0.30000000000000004,1.0,,
historical_best_ask_diagnostic,2026-05-27,Beijing,fresh_runway_current_no,current_bracket_no,0.67,0.0,0.33024,0.33024,2.464477611940298,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_noisy,0.176,0.3596,0.67,-0.67,0.0,,
historical_best_ask_diagnostic,2026-05-27,Manila,fresh_runway_current_no,current_bracket_no,0.639,0.0,0.26919936,0.26919936,2.1064112676056337,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,1.2891,0.6404,0.639,-0.639,0.0,,
historical_best_ask_diagnostic,2026-05-27,Miami,fresh_runway_current_no,current_bracket_no,0.69,1.0,0.286976,0.286976,2.0795362318840587,below_min5_after_sizing,gfs_seamless,gfs,balanced_tight,0.1286,0.2239,0.69,0.31000000000000005,1.0,,
historical_best_ask_diagnostic,2026-05-27,SaoPaulo,false_fade_reheat_current_no,current_bracket_no,0.35,0.0,0.3660799999999999,0.0,0.0,shadow_only_tail_or_false_fade,gfs_seamless,gfs,mild_or_mixed,-0.0191,0.2163,0.35,-0.35,0.0,,
historical_best_ask_diagnostic,2026-05-27,Shanghai,fresh_runway_current_no,current_bracket_no,0.57,1.0,0.3956736000000001,0.3956736000000001,3.4708210526315804,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,0.9496,0.5075,0.57,0.43000000000000005,1.0,,
historical_best_ask_diagnostic,2026-05-28,Ankara,fresh_runway_current_no,current_bracket_no,0.5,0.0,0.4556800000000001,0.4556800000000001,4.556800000000001,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,0.7653,0.441,0.5,-0.5,0.0,,
historical_best_ask_diagnostic,2026-05-28,Beijing,false_fade_reheat_current_no,current_bracket_no,0.29,1.0,0.65,0.0,0.0,shadow_only_tail_or_false_fade,gfs_seamless,gfs,cold_overforecast_noisy,0.176,0.3596,0.29,0.71,1.0,,
historical_best_ask_diagnostic,2026-05-28,BuenosAires,fresh_runway_current_no,current_bracket_no,0.57,1.0,0.33161216,0.33161216,2.908878596491229,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_noisy,0.6053,0.4747,0.57,0.43000000000000005,1.0,,
historical_best_ask_diagnostic,2026-05-28,Busan,fresh_runway_current_no,current_bracket_no,0.58,1.0,0.3564288,0.3564288,3.072662068965518,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_noisy,-0.4813,0.1067,0.58,0.42000000000000004,1.0,,
historical_best_ask_diagnostic,2026-05-28,Chongqing,cheap_stale_tail_current_no,current_bracket_no,0.29,0.0,0.0584999999999999,0.0,0.0,shadow_only_tail_or_false_fade,gfs_seamless,gfs,hot_underforecast_clean,1.2798,0.5787,0.29,-0.29,0.0,,
historical_best_ask_diagnostic,2026-05-28,Jeddah,fresh_runway_current_no,current_bracket_no,0.393,1.0,0.32,0.32,4.071246819338423,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,1.4971,0.6966,0.393,0.607,1.0,,
historical_best_ask_diagnostic,2026-05-28,Karachi,capped_d2_no,d2_no,0.64,1.0,0.2409479999999999,0.1566161999999999,1.2235640625,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,0.9132,0.5056,0.64,0.36,1.0,,
historical_best_ask_diagnostic,2026-05-28,Manila,fresh_runway_current_no,current_bracket_no,0.48,0.0,0.4303872000000001,0.4303872000000001,4.483200000000001,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,1.2891,0.6404,0.48,-0.48,0.0,,
historical_best_ask_diagnostic,2026-05-28,Miami,false_fade_reheat_current_no,current_bracket_no,0.67,1.0,0.2092896,0.0,0.0,shadow_only_tail_or_false_fade,gfs_seamless,gfs,balanced_tight,0.1286,0.2239,0.67,0.32999999999999996,1.0,,
historical_best_ask_diagnostic,2026-05-28,Munich,capped_d2_no,d2_no,0.64,1.0,0.2618999999999999,0.1964249999999999,1.5345703124999996,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_noisy,0.6598,0.5197,0.64,0.36,1.0,,
historical_best_ask_diagnostic,2026-05-28,NYC,fresh_runway_current_no,current_bracket_no,0.48,0.0,0.1868,0.1868,1.9458333333333335,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_noisy,-0.2712,0.156,0.48,-0.48,0.0,,
historical_best_ask_diagnostic,2026-05-28,Wellington,false_fade_reheat_current_no,current_bracket_no,0.44,1.0,0.4575999999999999,0.0,0.0,shadow_only_tail_or_false_fade,gfs_seamless,gfs,hot_underforecast_clean,1.181,0.6096,0.44,0.56,1.0,,
historical_best_ask_diagnostic,2026-05-29,CapeTown,fresh_runway_current_no,current_bracket_no,0.53,1.0,0.52736,0.52736,4.9750943396226415,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_noisy,-0.6234,0.0758,0.53,0.47,1.0,,
historical_best_ask_diagnostic,2026-05-29,Chengdu,capped_d2_no,d2_no,0.7,1.0,0.18225,0.1184625,0.8461607142857147,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,1.0728,0.5084,0.7,0.30000000000000004,1.0,,
historical_best_ask_diagnostic,2026-05-29,Istanbul,false_fade_reheat_current_no,current_bracket_no,0.659,1.0,0.3230396,0.0,0.0,shadow_only_tail_or_false_fade,gfs_seamless,gfs,cold_overforecast_noisy,-0.2309,0.236,0.659,0.34099999999999997,1.0,,
historical_best_ask_diagnostic,2026-05-29,LA,fresh_runway_current_no,current_bracket_no,0.59,0.0,0.4428800000000001,0.4428800000000001,3.753220338983051,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_noisy,-0.2704,0.1085,0.59,-0.59,0.0,,
historical_best_ask_diagnostic,2026-05-29,SaoPaulo,fresh_runway_current_no,current_bracket_no,0.55,0.0,0.234624,0.234624,2.1329454545454545,below_min5_after_sizing,gfs_seamless,gfs,mild_or_mixed,-0.0191,0.2163,0.55,-0.55,0.0,,
historical_best_ask_diagnostic,2026-05-29,Seattle,cheap_stale_tail_current_no,current_bracket_no,0.25,1.0,0.0659999999999999,0.0,0.0,shadow_only_tail_or_false_fade,gfs_seamless,gfs,hot_underforecast_clean,0.7865,0.4101,0.25,0.75,1.0,,
historical_best_ask_diagnostic,2026-05-29,Warsaw,capped_d2_no,d2_no,0.69,0.0,0.195408,0.195408,1.4160000000000004,below_min5_after_sizing,gfs_seamless,gfs,balanced_tight,-0.0484,0.1818,0.69,-0.69,0.0,,
historical_best_ask_diagnostic,2026-05-30,Karachi,capped_d2_no,d2_no,0.56,1.0,0.313812,0.2039778,1.821230357142857,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,0.9132,0.5056,0.56,0.43999999999999995,1.0,,
historical_best_ask_diagnostic,2026-05-30,Shanghai,capped_d2_no,d2_no,0.56,0.0,0.30699,0.1995434999999999,1.7816383928571426,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,0.9496,0.5075,0.56,-0.56,0.0,,
historical_best_ask_diagnostic,2026-05-30,Tokyo,capped_d2_no,d2_no,0.42,1.0,0.405,0.405,4.821428571428572,below_min5_after_sizing,gfs_seamless,gfs,balanced_tight,-0.0899,0.1384,0.42,0.5800000000000001,1.0,,
historical_best_ask_diagnostic,2026-05-31,Ankara,capped_d2_no,d2_no,0.6,1.0,0.3015,0.195975,1.6331250000000004,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,0.7653,0.441,0.6,0.4,1.0,,
historical_best_ask_diagnostic,2026-05-31,Busan,fresh_runway_current_no,current_bracket_no,0.15,0.0,0.144,0.144,4.800000000000002,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_noisy,-0.4813,0.1067,0.15,-0.15,0.0,,
historical_best_ask_diagnostic,2026-05-31,Karachi,capped_d2_no,d2_no,0.55,0.0,0.351,0.22815,2.0740909090909088,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,0.9132,0.5056,0.55,-0.55,0.0,,
historical_best_ask_diagnostic,2026-05-31,Taipei,capped_d2_no,d2_no,0.69,1.0,0.19116,0.133812,0.9696521739130436,below_min5_after_sizing,gfs_seamless,gfs,two_sided_noisy,-0.0708,0.3624,0.69,0.31000000000000005,1.0,,
historical_best_ask_diagnostic,2026-05-31,TelAviv,pullback_uncertain_current_high_yes,current_high_yes,0.9,1.0,0.1124999999999999,0.1124999999999999,0.625,below_min5_after_sizing,gfs_seamless,gfs,mild_or_mixed,0.4697,0.3287,0.9,0.09999999999999998,1.0,,
historical_best_ask_diagnostic,2026-06-01,TelAviv,cheap_stale_tail_current_no,current_bracket_no,0.32,0.0,0.15,0.0,0.0,shadow_only_tail_or_false_fade,gfs_seamless,gfs,mild_or_mixed,0.4697,0.3287,0.32,-0.32,0.0,,
historical_best_ask_diagnostic,2026-06-01,Wuhan,capped_d2_no,d2_no,0.6,1.0,0.27135,0.244215,2.0351250000000003,below_min5_after_sizing,gfs_seamless,gfs,mild_or_mixed,0.1514,0.2753,0.6,0.4,1.0,,
historical_best_ask_diagnostic,2026-06-02,Amsterdam,cheap_stale_tail_current_no,current_bracket_no,0.33,0.0,0.2639999999999999,0.0,0.0,shadow_only_tail_or_false_fade,gfs_seamless,gfs,balanced_tight,0.0349,0.1348,0.33,-0.33,0.0,,
historical_best_ask_diagnostic,2026-06-02,Beijing,fresh_runway_current_no,current_bracket_no,0.692,0.0,0.2394112000000001,0.2394112000000001,1.7298497109826598,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_noisy,0.176,0.3596,0.692,-0.692,0.0,,
historical_best_ask_diagnostic,2026-06-02,BuenosAires,capped_d2_no,d2_no,0.66,1.0,0.2130479999999999,0.1597859999999999,1.2105,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_noisy,0.6053,0.4747,0.66,0.33999999999999997,1.0,,
historical_best_ask_diagnostic,2026-06-02,Busan,capped_d2_no,d2_no,0.66,0.0,0.188838,0.1982799,1.5021204545454545,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_noisy,-0.4813,0.1067,0.66,-0.66,0.0,,
historical_best_ask_diagnostic,2026-06-02,CapeTown,fresh_runway_current_no,current_bracket_no,0.61,1.0,0.487296,0.487296,3.9942295081967223,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_noisy,-0.6234,0.0758,0.61,0.39,1.0,,
historical_best_ask_diagnostic,2026-06-02,Jeddah,fresh_runway_current_no,current_bracket_no,0.61,1.0,0.10368,0.10368,0.8498360655737707,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,1.4971,0.6966,0.61,0.39,1.0,,
historical_best_ask_diagnostic,2026-06-02,Munich,capped_d2_no,d2_no,0.51,1.0,0.3906,0.29295,2.872058823529412,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_noisy,0.6598,0.5197,0.51,0.49,1.0,,
historical_best_ask_diagnostic,2026-06-03,BuenosAires,capped_d2_no,d2_no,0.58,1.0,0.282744,0.212058,1.828086206896552,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_noisy,0.6053,0.4747,0.58,0.42000000000000004,1.0,,
historical_best_ask_diagnostic,2026-06-03,Houston,capped_d2_no,d2_no,0.68,1.0,0.1867319999999999,0.2147417999999999,1.5789838235294114,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_clean,-0.7775,0.0815,0.68,0.31999999999999995,1.0,,
historical_best_ask_diagnostic,2026-06-03,Munich,capped_d2_no,d2_no,0.65,1.0,0.2217599999999999,0.16632,1.2793846153846151,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_noisy,0.6598,0.5197,0.65,0.35,1.0,,
historical_best_ask_diagnostic,2026-06-03,Wuhan,fresh_runway_current_no,current_bracket_no,0.39,0.0,0.1248,0.1248,1.6000000000000003,below_min5_after_sizing,gfs_seamless,gfs,mild_or_mixed,0.1514,0.2753,0.39,-0.39,0.0,,
historical_best_ask_diagnostic,2026-06-04,Amsterdam,fresh_runway_current_no,current_bracket_no,0.66,1.0,0.3167743999999999,0.3167743999999999,2.39980606060606,below_min5_after_sizing,gfs_seamless,gfs,balanced_tight,0.0349,0.1348,0.66,0.33999999999999997,1.0,,
historical_best_ask_diagnostic,2026-06-04,Dallas,capped_d2_no,d2_no,0.63,0.0,0.2718,0.17667,1.4021428571428571,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,3.8596,0.9213,0.63,-0.63,0.0,,
historical_best_ask_diagnostic,2026-06-04,Guangzhou,capped_d2_no,d2_no,0.66,1.0,0.21789,0.1634175,1.2380113636363634,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_noisy,0.5786,0.4242,0.66,0.33999999999999997,1.0,,
historical_best_ask_diagnostic,2026-06-04,Karachi,capped_d2_no,d2_no,0.58,1.0,0.3213,0.208845,1.8003879310344832,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,0.9132,0.5056,0.58,0.42000000000000004,1.0,,
historical_best_ask_diagnostic,2026-06-04,NYC,fresh_runway_current_no,current_bracket_no,0.55,1.0,0.4992,0.4992,4.538181818181818,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_noisy,-0.2712,0.156,0.55,0.44999999999999996,1.0,,
historical_best_ask_diagnostic,2026-06-05,Helsinki,pullback_uncertain_current_high_yes,current_high_yes,0.677,1.0,0.1251499999999999,0.1251499999999999,0.924298375184638,below_min5_after_sizing,gfs_seamless,gfs,mild_or_mixed,0.2863,0.2556,0.677,0.32299999999999995,1.0,,
historical_best_ask_diagnostic,2026-06-05,Houston,capped_d2_no,d2_no,0.66,1.0,0.188838,0.2171637,1.6451795454545457,below_min5_after_sizing,gfs_seamless,gfs,cold_overforecast_clean,-0.7775,0.0815,0.66,0.33999999999999997,1.0,,
historical_best_ask_diagnostic,2026-06-05,Karachi,capped_d2_no,d2_no,0.57,1.0,0.3312,0.21528,1.8884210526315792,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,0.9132,0.5056,0.57,0.43000000000000005,1.0,,
historical_best_ask_diagnostic,2026-06-05,Miami,fresh_runway_current_no,current_bracket_no,0.69,1.0,0.2537472000000001,0.2537472000000001,1.8387478260869576,below_min5_after_sizing,gfs_seamless,gfs,balanced_tight,0.1286,0.2239,0.69,0.31000000000000005,1.0,,
historical_best_ask_diagnostic,2026-06-05,Munich,capped_d2_no,d2_no,0.63,1.0,0.2718,0.2038499999999999,1.6178571428571429,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_noisy,0.6598,0.5197,0.63,0.37,1.0,,
historical_best_ask_diagnostic,2026-06-05,Taipei,cheap_stale_tail_current_no,current_bracket_no,0.303,0.0,0.1169999999999999,0.0,0.0,shadow_only_tail_or_false_fade,gfs_seamless,gfs,two_sided_noisy,-0.0708,0.3624,0.303,-0.303,0.0,,
historical_best_ask_diagnostic,2026-06-05,Tokyo,fresh_runway_current_no,current_bracket_no,0.48,0.0,0.36343808,0.36343808,3.785813333333334,below_min5_after_sizing,gfs_seamless,gfs,balanced_tight,-0.0899,0.1384,0.48,-0.48,0.0,,
historical_best_ask_diagnostic,2026-06-06,Chongqing,capped_d2_no,d2_no,0.46,1.0,0.39609,0.2574585,2.7984619565217392,below_min5_after_sizing,gfs_seamless,gfs,hot_underforecast_clean,1.2798,0.5787,0.46,0.54,1.0,,
